Customer ID,Age,Annual Income (k$),Gender,Spending Score (1-100),Product Category,Number of Purchases,Days Since Last Purchase,Average Purchase Value ($)
1,56,142,Female,2,Toys,99,144,339.33
2,69,138,Female,86,Groceries,52,273,596.73
3,46,137,Female,5,Furniture,93,154,500.0
4,32,40,Male,4,Toys,82,336,946.28
5,60,45,Male,36,Electronics,12,362,750.1
6,25,28,Male,6,Toys,83,324,733.24
7,38,34,Other,21,Groceries,48,335,55.89
8,56,29,Male,77,Clothing,22,142,554.17
9,36,141,Male,89,Clothing,49,297,472.32
10,40,140,Female,26,Toys,52,33,928.56
11,28,144,Female,55,Clothing,79,303,264.77
12,28,91,Female,39,Toys,1,238,277.14
13,41,68,Male,84,Groceries,66,137,417.23
14,53,110,Male,33,Clothing,64,253,250.94
15,57,56,Male,14,Electronics,8,4,137.89
16,41,87,Male,56,Toys,86,175,858.84
17,20,69,Male,100,Clothing,25,213,562.69
18,39,38,Male,81,Groceries,66,363,862.75
19,19,119,Female,21,Groceries,73,22,832.82
20,41,79,Male,46,Electronics,73,317,289.22
21,61,108,Female,16,Groceries,77,12,552.26
22,47,88,Female,16,Groceries,70,240,92.39
23,55,68,Male,84,Clothing,94,275,916.1
24,19,127,Female,29,Toys,79,91,410.22
25,38,138,Male,92,Furniture,51,107,399.74
26,50,56,Male,8,Groceries,53,228,309.73
27,29,30,Female,88,Groceries,15,151,466.06
28,39,97,Male,3,Furniture,50,107,259.24
29,61,96,Other,89,Groceries,71,288,381.1
30,42,21,Male,19,Clothing,75,175,801.95
31,66,83,Female,97,Clothing,38,319,835.91
32,44,54,Male,66,Furniture,40,285,311.14
33,59,26,Male,79,Groceries,66,363,474.32
34,45,104,Male,86,Groceries,39,328,875.08
35,33,86,Female,74,Toys,74,364,62.15
36,32,61,Female,82,Groceries,17,240,890.25
37,64,137,Female,22,Clothing,7,144,226.99
38,68,144,Female,46,Electronics,39,355,681.75
39,61,43,Female,91,Electronics,68,13,586.73
40,69,65,Female,13,Electronics,35,274,557.41
41,20,38,Female,33,Electronics,51,70,860.77
42,54,87,Female,5,Groceries,47,314,110.56
43,68,121,Female,90,Groceries,36,194,353.56
44,24,61,Female,77,Toys,64,352,542.87
45,38,51,Male,27,Groceries,95,299,813.18
46,26,128,Female,78,Electronics,89,10,224.28
47,56,55,Female,24,Furniture,13,105,804.9
48,35,116,Male,67,Furniture,18,257,405.64
49,21,92,Male,63,Clothing,21,195,197.02
50,42,116,Male,94,Clothing,65,144,761.4
51,31,142,Female,99,Groceries,8,219,99.99
52,67,89,Female,48,Furniture,48,349,519.62
53,26,32,Male,63,Electronics,85,173,73.24
54,43,68,Female,78,Electronics,43,215,362.85
55,19,79,Female,12,Electronics,53,92,605.07
56,37,149,Male,28,Groceries,85,259,560.55
57,45,24,Female,44,Groceries,27,62,410.61
58,64,46,Other,93,Toys,19,28,434.76
59,24,27,Female,43,Electronics,23,274,234.5
60,61,69,Female,17,Electronics,50,346,461.32
61,25,86,Other,40,Groceries,51,284,953.72
62,64,63,Female,49,Groceries,43,69,851.95
63,52,144,Male,85,Toys,99,278,153.78
64,31,77,Female,57,Toys,51,230,39.48
65,34,22,Female,87,Clothing,69,301,934.19
66,53,105,Female,84,Furniture,41,254,531.48
67,67,89,Male,64,Electronics,72,171,542.46
68,57,149,Female,75,Electronics,11,179,782.91
69,21,21,Male,57,Toys,80,263,321.54
70,19,121,Female,98,Toys,88,182,487.09
71,23,54,Male,74,Clothing,85,321,968.98
72,59,117,Male,74,Furniture,52,204,675.43
73,21,49,Male,70,Clothing,23,248,162.21
74,46,135,Male,100,Furniture,49,212,141.89
75,35,27,Female,88,Electronics,38,158,212.22
76,43,63,Female,76,Clothing,47,99,769.04
77,61,55,Female,43,Toys,72,316,302.42
78,51,96,Male,23,Clothing,7,111,31.17
79,27,50,Male,27,Clothing,66,307,944.73
80,53,66,Female,58,Electronics,94,165,178.02
81,31,74,Female,37,Toys,77,35,19.46
82,48,125,Male,6,Toys,62,111,244.76
83,65,140,Female,65,Groceries,87,86,242.68
84,32,74,Male,6,Groceries,29,182,427.79
85,25,31,Female,50,Groceries,38,84,921.19
86,31,22,Female,22,Electronics,84,268,880.39
87,40,49,Male,88,Clothing,33,164,462.33
88,57,42,Male,25,Toys,29,302,416.79
89,38,111,Female,79,Toys,79,89,559.46
90,33,134,Male,90,Clothing,23,237,251.02
91,62,123,Male,72,Toys,3,21,61.66
92,35,137,Female,51,Clothing,93,166,939.83
93,64,24,Male,88,Electronics,45,214,194.83
94,41,123,Male,48,Electronics,8,57,206.42
95,43,127,Female,70,Electronics,86,29,477.74
96,42,84,Female,99,Clothing,29,105,496.7
97,62,140,Female,65,Clothing,2,329,28.25
98,58,49,Female,60,Furniture,50,166,156.48
99,46,103,Female,46,Toys,65,349,384.37
100,32,51,Female,36,Toys,20,153,686.89
101,62,35,Male,58,Furniture,52,326,236.13
102,18,57,Female,76,Furniture,85,6,428.78
103,42,55,Other,38,Electronics,37,196,561.77
104,24,133,Male,11,Furniture,72,320,889.71
105,26,85,Male,12,Clothing,27,45,332.81
106,41,124,Female,42,Groceries,47,17,142.22
107,18,104,Male,39,Clothing,99,152,494.38
108,61,21,Male,71,Furniture,6,263,749.25
109,25,94,Female,11,Toys,60,73,118.76
110,41,86,Other,36,Clothing,45,144,430.44
111,28,74,Male,52,Toys,44,101,27.61
112,68,25,Male,31,Clothing,83,334,43.22
113,34,105,Male,33,Toys,18,334,488.12
114,25,79,Female,13,Clothing,65,120,305.22
115,52,120,Male,18,Toys,25,175,846.66
116,52,31,Male,41,Groceries,27,62,606.13
117,50,68,Male,58,Electronics,7,295,459.39
118,22,61,Male,56,Clothing,44,83,413.86
119,59,101,Female,24,Groceries,29,14,502.27
120,56,54,Female,73,Electronics,95,354,50.03
121,58,86,Female,31,Clothing,44,133,893.87
122,45,99,Female,55,Groceries,36,120,998.32
123,24,26,Male,10,Groceries,19,318,189.67
124,26,33,Female,60,Groceries,6,127,129.18
125,25,92,Female,2,Furniture,25,287,152.14
126,29,85,Male,15,Toys,31,300,664.42
127,51,110,Female,3,Electronics,9,179,664.83
128,50,149,Male,43,Toys,84,81,849.44
129,65,39,Female,31,Toys,74,12,754.31
130,40,29,Male,70,Toys,37,23,455.19
131,41,44,Other,67,Groceries,27,167,616.73
132,54,44,Male,56,Toys,13,269,691.4
133,52,73,Female,63,Furniture,41,69,517.61
134,61,52,Female,75,Clothing,66,317,480.89
135,57,114,Female,15,Groceries,85,88,648.65
136,39,33,Male,92,Electronics,97,188,561.9
137,44,84,Female,10,Clothing,24,256,647.5
138,52,129,Female,38,Clothing,44,216,616.73
139,18,99,Male,47,Clothing,98,31,722.0
140,52,73,Male,57,Toys,60,140,646.38
141,54,144,Female,50,Toys,9,160,524.55
142,64,44,Female,71,Groceries,2,31,684.98
143,31,136,Male,15,Toys,56,311,454.99
144,20,44,Male,18,Toys,30,151,249.25
145,18,98,Male,82,Toys,22,346,11.4
146,22,87,Female,88,Groceries,75,259,564.36
147,43,31,Female,2,Groceries,81,215,594.75
148,31,51,Female,84,Furniture,13,278,972.33
149,56,147,Other,98,Furniture,71,284,367.86
150,44,115,Male,43,Furniture,16,97,400.19
151,26,111,Male,26,Furniture,97,29,209.78
152,32,50,Male,71,Clothing,45,89,79.83
153,32,97,Male,38,Clothing,65,147,775.08
154,43,39,Female,94,Furniture,11,143,257.18
155,59,79,Female,42,Furniture,70,66,612.82
156,30,112,Male,5,Electronics,20,356,690.9
157,68,62,Male,11,Clothing,99,57,476.52
158,49,149,Female,65,Electronics,63,280,877.59
159,56,79,Female,34,Electronics,90,278,449.36
160,66,50,Male,1,Toys,12,235,292.06
161,69,24,Other,83,Groceries,62,352,897.06
162,49,29,Female,2,Clothing,94,127,862.95
163,21,108,Male,85,Furniture,92,336,172.4
164,47,149,Female,20,Furniture,91,208,35.7
165,54,145,Male,61,Groceries,42,185,99.09
166,40,30,Female,87,Clothing,83,168,293.68
167,56,75,Other,21,Furniture,69,171,972.54
168,62,102,Female,88,Furniture,58,259,562.93
169,32,118,Female,68,Toys,5,204,379.53
170,60,92,Male,12,Electronics,27,134,889.83
171,46,134,Female,22,Furniture,28,45,458.6
172,53,26,Female,20,Clothing,26,8,322.09
173,30,99,Female,82,Groceries,91,160,941.81
174,49,116,Female,1,Toys,49,288,851.02
175,24,23,Other,30,Clothing,21,339,845.23
176,68,23,Female,97,Toys,1,320,517.16
177,39,122,Male,24,Electronics,92,105,791.54
178,45,59,Other,14,Furniture,58,289,187.56
179,19,36,Female,36,Clothing,79,340,577.49
180,59,120,Female,69,Groceries,55,87,984.01
181,62,122,Female,75,Electronics,81,191,298.05
182,23,143,Male,24,Electronics,26,152,796.41
183,45,71,Male,60,Toys,84,310,495.57
184,45,71,Female,95,Electronics,25,136,49.41
185,61,143,Female,55,Clothing,77,272,765.39
186,61,82,Male,77,Toys,33,148,176.88
187,37,135,Female,80,Electronics,89,187,635.16
188,47,81,Male,24,Groceries,72,140,94.81
189,28,26,Female,77,Clothing,69,130,947.4
190,45,111,Male,24,Groceries,6,3,298.81
191,42,33,Male,54,Groceries,23,262,234.2
192,56,105,Male,26,Toys,30,25,137.85
193,50,149,Male,66,Furniture,78,23,946.54
194,18,81,Female,80,Toys,54,265,714.78
195,44,98,Male,38,Clothing,87,228,744.24
196,69,77,Male,65,Clothing,11,268,504.41
197,30,139,Female,75,Toys,31,124,479.98
198,58,84,Female,51,Furniture,6,171,118.92
199,20,32,Male,35,Toys,11,233,564.24
200,56,101,Other,43,Clothing,77,294,254.45
201,23,71,Male,29,Furniture,12,274,977.37
202,25,136,Female,37,Clothing,66,75,798.62
203,44,45,Female,81,Furniture,53,307,418.86
204,26,53,Male,58,Furniture,99,213,159.83
205,54,71,Male,54,Toys,36,157,787.48
206,50,131,Male,39,Toys,17,301,130.83
207,68,101,Male,42,Toys,28,203,197.44
208,59,61,Female,28,Furniture,92,148,219.41
209,61,40,Male,29,Furniture,22,74,561.32
210,41,61,Male,43,Clothing,7,228,789.19
211,32,132,Male,3,Groceries,15,303,321.17
212,49,124,Male,10,Toys,96,61,93.82
213,49,36,Female,59,Clothing,11,57,469.89
214,41,139,Male,14,Clothing,24,273,750.63
215,58,148,Female,76,Electronics,67,107,229.45
216,69,149,Male,47,Toys,30,186,227.73
217,66,79,Male,42,Clothing,70,228,947.75
218,66,67,Female,94,Electronics,66,47,954.61
219,69,48,Male,32,Toys,61,318,990.56
220,29,116,Female,32,Furniture,78,267,809.58
221,56,29,Female,42,Electronics,41,214,196.3
222,19,77,Male,32,Furniture,82,289,219.86
223,20,40,Male,26,Groceries,51,253,346.82
224,66,47,Male,1,Groceries,44,357,324.95
225,54,53,Male,56,Groceries,95,86,956.96
226,66,27,Male,2,Groceries,13,180,791.18
227,34,98,Male,81,Clothing,90,24,726.77
228,66,106,Male,30,Groceries,12,221,194.1
229,19,107,Female,71,Clothing,82,48,910.43
230,19,88,Female,52,Clothing,9,333,829.59
231,45,106,Female,91,Toys,85,174,172.01
232,40,120,Male,9,Clothing,48,310,872.46
233,54,27,Male,22,Clothing,49,273,279.53
234,49,96,Female,34,Groceries,53,34,90.06
235,50,106,Female,49,Clothing,56,216,660.25
236,18,62,Female,1,Furniture,40,208,657.27
237,36,148,Male,73,Groceries,24,159,103.98
238,19,128,Female,84,Electronics,98,6,325.66
239,61,36,Female,53,Groceries,72,268,992.89
240,43,40,Male,83,Clothing,33,125,681.64
241,49,77,Male,100,Furniture,23,324,732.77
242,23,129,Female,40,Groceries,77,355,220.79
243,49,47,Male,45,Furniture,54,89,87.99
244,21,70,Male,68,Electronics,53,41,284.13
245,28,24,Female,9,Electronics,49,364,256.41
246,34,24,Female,22,Toys,78,158,242.2
247,55,113,Male,18,Toys,78,201,200.83
248,41,115,Male,76,Groceries,80,281,579.01
249,22,27,Male,43,Toys,49,331,334.82
250,69,83,Female,39,Furniture,60,287,822.14
251,51,57,Male,73,Toys,90,90,192.11
252,23,130,Other,6,Furniture,90,124,469.98
253,39,131,Male,83,Toys,65,125,23.52
254,28,100,Male,48,Toys,32,51,486.87
255,65,123,Female,7,Toys,79,102,65.28
256,33,92,Female,80,Clothing,21,360,977.95
257,50,68,Male,69,Clothing,18,186,792.69
258,26,55,Male,16,Toys,94,204,495.21
259,23,145,Other,1,Furniture,60,13,95.72
260,33,87,Male,37,Groceries,13,103,596.52
261,46,97,Female,83,Electronics,24,116,761.18
262,20,124,Male,37,Clothing,30,303,198.81
263,37,141,Female,81,Toys,2,92,572.53
264,53,138,Female,64,Electronics,83,143,816.07
265,36,133,Male,90,Clothing,25,109,770.57
266,43,29,Female,86,Groceries,50,162,804.96
267,20,110,Male,62,Furniture,14,52,880.53
268,36,21,Male,72,Toys,6,2,938.31
269,37,137,Female,61,Groceries,76,67,411.47
270,49,32,Male,33,Clothing,84,245,573.08
271,24,114,Female,66,Toys,87,137,792.75
272,69,51,Male,30,Electronics,30,307,700.17
273,58,51,Male,20,Furniture,30,351,995.57
274,50,143,Male,60,Clothing,38,286,23.54
275,57,30,Male,82,Furniture,58,65,361.58
276,56,29,Male,74,Toys,94,346,288.22
277,35,34,Female,24,Groceries,41,324,269.69
278,57,36,Female,4,Furniture,94,154,230.3
279,18,78,Female,37,Electronics,57,86,712.03
280,28,97,Male,4,Clothing,36,32,93.91
281,45,143,Male,77,Electronics,64,67,744.19
282,42,133,Male,89,Furniture,98,186,696.49
283,67,41,Male,77,Groceries,16,191,258.3
284,40,51,Female,18,Groceries,88,212,260.31
285,48,132,Male,88,Electronics,78,87,632.57
286,47,139,Male,66,Toys,90,350,764.55
287,59,141,Female,48,Toys,72,107,877.72
288,52,51,Male,33,Groceries,14,239,853.62
289,24,138,Male,58,Electronics,31,215,965.23
290,33,58,Male,83,Electronics,66,176,585.57
291,43,31,Male,73,Electronics,68,52,909.57
292,65,37,Female,28,Furniture,65,329,810.43
293,69,145,Male,35,Toys,55,48,895.72
294,66,65,Male,10,Toys,84,113,21.51
295,19,123,Male,65,Furniture,78,94,966.24
296,18,105,Male,42,Clothing,40,24,478.79
297,65,108,Male,85,Furniture,25,131,800.2
298,29,41,Female,9,Electronics,25,178,135.93
299,22,111,Female,60,Furniture,3,144,401.98
300,54,48,Female,15,Electronics,69,363,278.75
301,49,32,Male,99,Groceries,26,197,298.74
302,26,21,Female,57,Electronics,40,324,132.02
303,58,48,Female,69,Toys,38,83,807.71
304,52,46,Male,22,Furniture,38,156,19.15
305,36,69,Female,64,Electronics,68,84,319.38
306,65,114,Male,41,Clothing,7,252,182.67
307,33,107,Male,87,Groceries,94,71,593.15
308,20,63,Female,71,Clothing,30,222,261.71
309,37,41,Male,56,Clothing,19,275,266.41
310,41,116,Female,23,Clothing,35,282,493.45
311,50,22,Male,25,Groceries,33,263,656.16
312,41,137,Female,91,Groceries,33,245,130.09
313,69,38,Female,6,Groceries,78,340,183.76
314,28,42,Female,34,Groceries,38,60,254.7
315,66,49,Male,63,Clothing,10,258,974.01
316,25,58,Male,9,Toys,57,6,403.18
317,53,127,Male,60,Toys,28,187,603.0
318,55,130,Male,49,Groceries,78,3,249.13
319,57,44,Male,97,Furniture,38,230,495.55
320,37,147,Female,51,Electronics,16,132,83.38
321,52,130,Female,60,Furniture,21,124,44.39
322,65,125,Other,70,Furniture,92,14,474.05
323,42,91,Male,37,Furniture,97,12,404.67
324,52,148,Male,31,Toys,6,117,145.51
325,42,127,Male,98,Electronics,41,239,690.73
326,46,24,Female,41,Furniture,15,262,992.97
327,35,22,Female,62,Groceries,3,359,401.69
328,63,123,Female,93,Toys,43,5,628.31
329,35,83,Female,58,Groceries,47,319,963.35
330,19,125,Female,14,Groceries,99,230,833.22
331,52,117,Male,36,Furniture,14,29,468.92
332,33,29,Male,36,Groceries,66,21,740.11
333,58,147,Female,79,Electronics,29,155,136.85
334,53,65,Male,8,Groceries,4,117,516.98
335,50,85,Male,26,Furniture,26,339,286.27
336,21,131,Female,36,Groceries,12,192,169.55
337,50,32,Other,48,Toys,2,345,432.02
338,31,105,Female,85,Toys,17,194,139.7
339,38,109,Female,28,Toys,35,167,702.0
340,65,77,Female,68,Clothing,10,238,461.68
341,37,73,Male,62,Toys,86,361,535.83
342,25,31,Male,80,Toys,43,243,154.91
343,24,33,Female,86,Clothing,21,68,148.37
344,20,140,Female,76,Toys,15,94,587.58
345,34,140,Male,80,Furniture,35,76,985.16
346,50,39,Female,51,Toys,85,170,105.29
347,65,94,Male,42,Toys,85,0,292.87
348,29,89,Male,29,Clothing,85,61,870.76
349,68,75,Female,82,Furniture,60,206,81.55
350,39,120,Male,10,Groceries,44,153,877.13
351,39,130,Male,39,Electronics,96,273,529.04
352,63,144,Male,82,Furniture,5,47,414.18
353,47,39,Female,1,Groceries,73,136,316.58
354,55,43,Male,39,Furniture,18,0,304.15
355,55,56,Female,21,Groceries,21,234,312.74
356,62,73,Female,65,Groceries,72,255,885.96
357,68,122,Male,15,Furniture,98,106,726.56
358,25,57,Other,4,Clothing,74,172,673.03
359,44,23,Male,60,Furniture,51,129,800.76
360,44,76,Other,61,Furniture,41,293,264.54
361,51,39,Female,20,Groceries,24,39,621.86
362,38,36,Other,10,Electronics,24,337,465.47
363,47,138,Male,87,Groceries,96,15,784.62
364,50,90,Female,34,Toys,97,126,316.16
365,45,23,Male,48,Furniture,38,348,646.75
366,64,33,Male,33,Furniture,44,202,883.39
367,50,22,Female,98,Clothing,57,133,408.13
368,22,99,Male,61,Groceries,59,258,75.96
